Date,Bagasse_Generation,Bagasse_and_Diesel_Generation,Black_Coal_Generation,Coal_Seam_Methane_Generation,Grid_Generation,Kerosene_Generation,Natural_Gas_Generation,Solar_Generation,Solar__Generation,Waste_Coal_Mine_Gas_Generation,Water_Generation,Wind_Generation,RRP,RESDEMAND,weekday,month,year
2020-10-12,3025.2,0.0,1517514.45228,10683.51844,0.0,0.0,141945.30478,96859.342029,5051.6204099999995,22107.437536,10771.57738,52239.75149,36.91506152777778,106285747.0,0,10,2020
2020-10-13,3651.4,0.0,1481017.21119,5421.3469700000005,0.0,0.0,182585.41834,74887.716098,8194.60347,22235.393960999998,1499.8,49468.93002,79.80951795138888,105517044.0,1,10,2020
2020-10-14,3581.6,0.0,1531746.16115,12765.78872,0.0,0.0,144656.88955,50969.509667,7612.58583,22258.112406,1487.24,60368.43193,28.197306493055553,105317816.0,2,10,2020
2020-10-15,3507.200002,0.0,1423114.64763,13863.24859,0.0,0.0,150544.37742,82801.95552999999,9624.80223,22900.456247000002,11762.19981,53137.85019,25.709112847222226,104451380.0,3,10,2020
2020-10-16,3379.9,0.0,1446497.38445,9795.864650000001,0.0,0.0,192371.06929,63535.045888,9610.61425,23713.081241,16720.37962,37396.95517,28.590208645833332,103968365.0,4,10,2020
2020-10-17,2916.6,0.0,1447160.96428,46.40832,0.0,0.0,109111.84291,64171.060847,7382.67217,21291.912437,18642.0697,57097.1453,1.910917847222222,98695635.0,5,10,2020
2020-10-18,3470.8,0.0,1517347.7104,5101.57705,0.0,0.0,107130.75149000001,76090.439392,8202.7346,22648.843715,10167.27983,50899.30047,28.37019722222222,99081449.0,6,10,2020
2020-10-19,3330.0,0.0,1514086.77039,9597.51337,0.0,0.0,151096.53125,104856.131996,9440.67136,22479.843797,13470.8298,28727.911819999998,27.6057009375,109395523.0,0,10,2020
2020-10-20,3422.3,0.0,1460769.81318,13208.05059,0.0,0.0,192961.66984,106089.619334,7575.01563,21382.593841,11631.45978,59676.41825,31.020341006944445,107476928.0,1,10,2020
2020-10-21,3410.7,0.0,1527077.06051,10985.71123,0.0,0.0,157034.4515,93421.470967,3445.34544,22272.875037,6188.0298999999995,74903.42824000001,42.16535548611111,107313284.0,2,10,2020
2020-10-22,3356.3,0.0,1531365.84986,8198.48015,0.0,0.0,189499.56188,108611.417866,5098.87318,22629.800015,7639.43982,52244.24164,37.25328715277778,108658428.0,3,10,2020
2020-10-23,3369.6,0.0,1527322.5348,8663.48649,0.0,0.0,179471.69955,80321.131222,5549.71061,22332.299978,14594.77244,74479.89807,35.31385822916666,109824742.0,4,10,2020
2020-10-24,2474.999998,0.0,1563736.67114,11723.03876,0.0,0.0,155668.94607,77291.124775,2225.95836,20526.96252,24181.35492,53971.84924,41.43926770833333,105960188.0,5,10,2020
2020-10-25,0.0,0.0,1529199.04111,11662.61714,0.0,0.0,118873.403,99456.900539,5914.23849,21910.100011,25047.76236,27918.13544,39.26176517361111,104212200.0,6,10,2020
2020-10-26,0.0,0.0,1577878.98198,24030.78868,0.0,0.0,162611.3375,97121.214713,8447.94003,22075.406151,27410.73734,14913.922700000001,52.907595694444446,111422446.0,0,10,2020
2020-10-27,998.000013,0.0,1617487.12067,10829.69989,0.0,0.0,207364.29401,52851.147268,5908.22981,20646.525158,20732.9,65247.95445,46.08925680555556,110923686.0,1,10,2020
2020-10-28,3613.399999,0.0,1571325.89442,17628.89735,0.0,0.0,197471.70754,85680.457834,6743.89113,20900.868781,19912.695,58812.21458,49.412360625,109876168.0,2,10,2020
2020-10-29,1450.99999,0.0,1609532.9535,8.70048,0.0,0.0,165353.13948,123837.757684,10014.70937,16851.262466,23184.40741,31512.19167,40.1723978125,109608459.0,3,10,2020
2020-10-30,0.0,0.0,1553848.83663,8.70048,0.0,0.0,148372.30728,145648.000059,9364.92286,16339.987654,24374.43995,42898.40999,36.95763517361111,110115909.0,4,10,2020
2020-10-31,0.0,0.0,1525916.822,14353.43039,0.0,0.0,98778.04927,134028.424404,8465.6036,19783.693702,31671.43733,69263.89414,40.537773055555554,106781788.0,5,10,2020
2020-11-01,0.0,0.0,1405316.96599,15042.80068,0.0,0.0,132116.19034,145163.10607,9758.18978,20023.70626,29434.62977,35179.88216,36.81341916666667,106297221.0,6,11,2020
